Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
565000.0;63.0;3;0;1;4;1900;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;3.5
599000.0;71.3;4;0;4;4;1990;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;11.6
399000.0;53.94;3;0;3;4;1985;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.4
429000.0;66.0;3;0;1;4;1958;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0.7
319900.0;41.81;2;0;3;11;1978;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.8
647000.0;66.5;3;0;2;2;2016;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;8.0
499000.0;46.71;2;0;3;4;2015;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.4
370000.0;65.9;3;0;3;3;1910;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1.9
195000.0;45.0;3;0;4;4;1930;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0.0
295000.0;40.0;2;0;11;11;1980;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;2.3
459000.0;72.0;3;0;0;11;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6.4
449000.0;48.5;2;0;10;12;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.9
610000.0;68.0;3;0;2;2;1938;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2.7
259000.0;40.24;2;0;2;2;1920;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;6.4
619000.0;82.09;4;0;3;4;1998;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;7.1
619000.0;82.09;4;0;3;4;1998;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;7.1
545000.0;63.1;3;0;2;3;2007;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.0
199000.0;41.5;2;0;0;3;1930;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;4.6
285000.0;51.0;2;0;1;2;1920;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;9.3
410000.0;40.22;2;0;11;17;2009;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.9
605000.0;63.1;3;1;1;2;2019;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;4.8
806943.0;83.19;3;1;0;2;2021;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.5
886730.0;93.34;3;1;2;2;2021;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.5
319000.0;30.94;2;0;0;4;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5.1
319000.0;32.58;1;0;1;4;2005;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.0
325000.0;47.91;2;0;3;4;1930;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;6.4
619000.0;65.8;3;0;3;5;2007;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2.0
720000.0;78.0;3;0;2;2;2017;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;9.3
425700.0;49.5;2;1;3;4;2021;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;6.0
