Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Ogrzewanie_gazowe;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
381600.0;60.0;3;1;0;3;2020;1;0;0;0;1;0;0;1;1;0;0;3.5
242840.0;37.36;2;1;1;2;2021;1;0;0;0;1;0;0;1;1;0;0;4.8
308000.0;61.59;3;1;1;5;2021;1;0;0;0;1;0;0;0;1;0;0;18.9
296100.0;43.4;2;1;1;1;2021;1;0;0;0;1;0;0;1;1;0;0;0.0
399000.0;66.8;3;0;0;1;2020;1;0;0;0;1;0;0;1;1;0;0;0.9
525325.0;76.15;3;1;2;7;2019;1;0;0;0;0;1;0;1;1;0;0;14.1
493005.0;71.45;3;1;2;7;2019;1;0;0;0;0;1;0;1;1;0;0;14.1
388000.0;74.11;4;1;2;2;2020;1;0;0;0;1;0;0;1;1;0;0;1.5
450582.0;68.27;3;1;3;4;2020;1;0;0;0;0;1;0;1;1;0;0;565.0
436656.0;66.16;4;1;1;4;2020;1;0;0;0;0;1;0;1;1;0;0;565.0
