Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
380000.0;45.0;2;0;3;4;1978;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;6.7
840225.0;87.07;4;1;0;17;2023;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;20.6
330000.0;39.4;2;0;2;10;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;6.7
530000.0;64.22;3;1;0;1;2022;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;12.5
626977.0;56.74;3;1;1;17;2023;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;20.6
579000.0;66.4;3;0;2;3;2021;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;6.1
498000.0;47.0;3;0;4;10;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.3
780000.0;93.2;4;0;1;2;2008;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;20.1
1080000.0;73.81;3;0;1;2;1942;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;13.8
990000.0;73.67;3;0;4;5;2020;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;17.6
730000.0;54.2;3;0;0;4;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;17.2
629000.0;126.07;5;1;0;2;2021;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;20.1
879000.0;68.0;3;0;3;4;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;8.6
579000.0;50.0;2;0;4;4;1966;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;17.6
350000.0;53.0;3;0;7;10;1975;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;6.9
495000.0;47.0;2;0;1;5;1958;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.9
550000.0;55.4;3;0;2;4;1989;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;20.5
1395000.0;93.0;3;0;3;5;2013;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.5
539000.0;37.2;2;0;0;11;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;10.6
750000.0;58.0;4;0;2;2;1950;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;16.6
795000.0;107.0;6;0;2;3;1895;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;17.4
725630.0;48.7;2;0;1;2;1932;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;17.9
339000.0;54.2;2;0;0;2;1960;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;30.6
620000.0;60.0;2;0;1;5;2000;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0.9
497031.0;59.38;4;1;1;3;2021;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;12.5
