Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
528000.0;53.0;3;0;0;11;1969;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;5.3
479000.0;86.0;4;0;1;1;1930;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;12.0
590000.0;54.0;3;0;1;4;1970;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;5.3
498900.0;38.0;2;0;2;4;1955;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;12.7
1849000.0;58.0;2;0;2;3;2010;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.0
699000.0;51.0;2;0;0;4;1969;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.4
1570000.0;76.0;3;0;4;4;2017;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.6
856336.0;47.84;2;0;10;10;1975;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4.1
699000.0;45.5;2;0;3;3;1910;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;11.4
810000.0;67.28;3;0;2;3;2020;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;14.9
896000.0;74.67;3;0;3;3;1958;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;9.4
870000.0;73.0;4;0;0;1;1918;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;2.3
1940000.0;81.88;3;0;1;2;2009;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.8
545759.5;49.39;2;1;3;17;2023;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;11.5
609381.5;53.69;3;1;6;17;2023;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;12.2
1040000.0;59.7;3;0;3;7;2001;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;10.3
1999000.0;61.0;2;0;4;4;2002;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1.8
1199999.0;95.1;3;0;1;2;2001;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.5
549000.0;43.0;2;0;0;4;1960;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;9.9
759000.0;93.57;3;0;1;2;1924;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;9.6
2150000.0;86.0;4;0;5;5;2016;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.7
1849000.0;58.0;2;0;2;3;2010;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.0
481000.0;64.0;3;0;1;4;1975;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;7.4
700000.0;60.0;3;0;3;4;2021;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;18.4
599000.0;52.47;3;0;3;10;1981;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.6
350000.0;41.9;2;0;4;5;1996;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;10.2
310000.0;21.98;1;0;8;9;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.6
299000.0;26.0;1;0;0;4;1973;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;13.6
765000.0;68.0;3;0;2;3;2020;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;13.8
560000.0;60.6;3;0;3;4;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;16.4
519000.0;50.33;2;0;1;4;1997;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.7
699000.0;54.0;3;0;7;10;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;9.0
780000.0;76.88;4;0;1;5;2013;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;12.5
415000.0;40.0;2;0;1;10;1975;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8.9
630000.0;51.0;3;0;0;3;2017;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;11.6
459000.0;35.3;2;0;4;4;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.3
580000.0;56.89;3;0;1;2;1950;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;13.0
360000.0;46.3;2;0;8;10;1978;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;11.5
780000.0;100.0;4;0;3;3;2009;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;12.3
470000.0;42.0;2;0;2;4;1968;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.7
1500000.0;238.15;4;0;4;5;1937;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;10.2
1790000.0;178.25;6;0;1;2;1907;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;5.3
895000.0;70.1;3;0;9;17;2009;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8.1
565000.0;52.0;2;0;2;4;1960;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;8.8
1090000.0;101.2;4;0;0;2;2000;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;13.8
630000.0;56.0;2;0;0;2;2015;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.1
437400.0;27.0;1;0;4;5;2021;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;12.5
950000.0;44.8;2;0;5;28;2009;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;10.7
