Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
381000.0;40.42;2;1;1;2.0;2022.0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;7.2
950000.0;119.0;4;0;2;4.0;2008.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.8
512000.0;61.4;2;0;4;5.0;2001.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;5.8
801000.0;59.0;3;0;0;2.0;2021.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.4
354990.0;34.58;2;0;3;10.0;1980.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.8
599000.0;63.82;3;0;4;4.0;2012.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;6.8
189000.0;22.6;1;0;4;10.0;1985.0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;11.4
849999.0;64.4;3;0;5;5.0;2020.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.4
459000.0;71.0;3;0;2;2.0;2018.0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;13.7
455000.0;50.0;2;0;1;7.0;2000.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.9
425000.0;50.0;2;0;2;7.0;1988.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4.9
499000.0;69.0;3;0;2;2.0;2014.0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1.4
389000.0;50.0;2;0;2;3.0;2012.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;12.7
679990.0;94.7;4;0;1;4.0;1910.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1.4
649000.0;76.9;3;1;1;1.0;2021.0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1.4
899000.0;79.0;3;0;2;2.0;2011.0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1.4
479997.0;48.8;3;0;0;10.0;1982.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.4
335000.0;44.3;1;0;2;8.0;2000.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.9
850000.0;64.4;3;0;5;5.0;2020.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.2
499900.0;52.8;2;0;3;3.0;2011.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.4
420000.0;47.0;3;0;3;11.0;1970.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.6
584000.0;59.0;2;0;1;6.0;2012.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.8
485000.0;53.76;2;1;1;4.0;2018.0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;6.3
299000.0;27.0;1;0;2;10.0;1980.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;50.0
455000.0;55.2;3;0;7;10.0;1970.0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;5.8
369999.0;52.56;3;1;0;1.0;2021.0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;9.2
999999.0;72.4;3;0;4;4.0;1995.0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;2.0
425000.0;50.0;2;0;2;7.0;1988.0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;4.9
646000.0;64.7;3;0;1;10.0;1990.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.4
545000.0;40.25;2;0;1;3.0;1842.0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2.0
280000.0;35.28;2;0;1;4.0;2019.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;11.3
375000.0;45.37;2;0;1;8.0;2001.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;9.2
404200.0;58.16;3;1;2;2.0;2022.0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;11.0
649999.0;77.28;4;1;0;4.0;2021.0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;9.2
440775.0;39.18;4;1;3;4.0;2021.0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1.4
335000.0;51.0;2;0;3;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;10.1
439110.0;40.01;4;1;1;4.0;2021.0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1.4
549900.0;65.9;3;0;0;3.0;2000.0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1.4
548900.0;47.9;2;0;1;4.0;1989.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.4
