Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
273000.0;31.0;2;0;4;4;1978;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;41.8
861000.0;126.0;2;0;4;4;2020;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;16.6
390000.0;43.6;2;0;6;6;2006;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;18.4
458000.0;37.0;1;0;6;9;2001;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.5
450000.0;42.0;2;1;3;7;2021;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;11.4
615000.0;60.0;3;0;0;4;2011;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;18.9
610686.0;47.34;1;1;2;21;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;5.1
489000.0;31.7;1;0;2;5;2022;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;7.0
495000.0;46.04;2;0;2;4;1959;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;5.7
675000.0;54.0;3;0;3;8;1965;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4.1
350000.0;57.0;3;0;2;4;1974;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;38.3
650000.0;63.0;3;0;4;4;1989;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.1
459000.0;36.0;1;0;1;4;2004;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.8
