Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
471322.0;50.96;3;1;1;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
367190.0;37.35;2;1;6;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
363111.0;35.96;2;1;3;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
299255.0;25.92;1;1;1;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
802000.0;77.81;4;1;7;7.0;2021.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.7
461000.0;59.1;3;1;0;2.0;2022.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
604000.0;66.34;3;1;3;7.0;2021.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.7
415700.0;51.91;3;1;1;2.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
551000.0;56.07;3;1;5;7.0;2021.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.7
595000.0;54.05;3;1;7;7.0;2021.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.7
415000.0;65.8;3;1;1;1.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;20.4
289500.0;37.2;1;0;2;8.0;1985.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0.9
679000.0;107.0;3;0;1;3.0;1931.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;19.7
471000.0;50.96;3;1;5;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.4
399000.0;40.13;2;1;5;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.4
362000.0;37.35;2;1;3;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.4
366000.0;35.9;2;1;5;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.4
377000.0;32.67;2;1;5;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.4
656000.0;81.09;4;1;3;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.5
545000.0;65.74;3;1;2;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.5
459000.0;52.25;3;1;5;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.5
374000.0;43.1;2;1;1;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.5
280000.0;31.15;1;1;2;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.5
257000.0;25.71;1;1;3;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.5
245000.0;57.0;4;0;1;3.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;9.8
75000.0;19.0;1;0;0;4.0;1919.0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;13.8
682000.0;60.66;3;0;1;4.0;2020.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;10.0
265000.0;48.65;2;0;3;7.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8.0
450000.0;73.8;4;1;1;1.0;2023.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;15.0
450000.0;73.8;4;1;1;1.0;2023.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;15.0
450000.0;73.8;4;1;1;1.0;2023.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;15.0
450000.0;68.4;4;1;0;1.0;2023.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;15.0
450000.0;73.8;4;1;1;1.0;2023.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;15.0
490000.0;68.4;4;1;0;1.0;2023.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;15.0
415700.0;51.91;3;1;1;2.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
470000.0;68.4;4;1;0;1.0;2023.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;15.0
607000.0;74.01;4;1;2;2.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
585000.0;74.01;4;1;2;2.0;2022.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
450000.0;73.8;4;1;1;1.0;2023.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;15.0
450000.0;73.8;4;1;1;1.0;2023.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;15.0
414800.0;68.0;4;1;1;4.0;2022.0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;7.3
414800.0;68.0;4;1;3;4.0;2022.0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;7.3
444780.0;70.6;4;1;1;3.0;2022.0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;7.3
799000.0;90.3;4;0;3;4.0;1930.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;6.7
549000.0;65.7;3;0;1;2.0;2015.0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;5.5
395000.0;40.26;2;0;0;4.0;1938.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3.6
409000.0;77.49;5;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;17.1
585000.0;56.09;3;1;2;2.0;2020.0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;12.3
354618.0;73.04;4;1;2;3.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;17.8
412500.0;55.0;3;0;2;4.0;1984.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;5.4
260000.0;37.0;1;0;0;10.0;1978.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;14.2
209000.0;48.0;3;0;4;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;9.3
161000.0;35.13;2;0;2;2.0;1960.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;13.5
292000.0;60.22;3;0;3;3.0;1903.0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;6.7
299000.0;61.0;3;0;4;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.8
485000.0;58.0;3;0;8;10.0;1983.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2.9
244900.0;49.58;2;0;1;3.0;1927.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;12.9
230000.0;47.0;2;0;0;3.0;1930.0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;2.4
620000.0;79.9;3;0;4;4.0;1922.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1.9
540000.0;68.4;3;0;3;7.0;1950.0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1.7
505455.0;54.11;4;1;9;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
377233.0;37.94;2;1;0;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
378334.0;33.07;2;1;8;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
352612.0;30.8;2;1;7;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
364344.0;37.6;2;1;4;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
367565.0;35.9;2;1;6;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
316526.0;27.4;1;1;1;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
433343.0;46.9;3;1;1;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
363509.0;36.2;2;1;2;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
491263.0;53.2;3;1;1;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.5
499000.0;85.44;4;0;1;1.0;1970.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;9.7
295000.0;63.0;3;0;0;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;16.2
174000.0;33.0;1;0;2;4.0;1960.0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0.0
260000.0;49.0;3;0;4;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;9.0
290000.0;53.12;3;1;4;4.0;1977.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;17.1
475000.0;120.01;4;0;3;3.0;1950.0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;24.1
300000.0;120.5;5;0;3;4.0;1910.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;21.6
