Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
344990.0;54.0;2;0;3;3;2004;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;7.5
419000.0;49.0;3;0;2;4;2016;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0.0
259140.0;43.19;2;1;0;3;2021;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;24.7
329000.0;53.0;2;0;0;3;1998;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
329000.0;48.2;3;0;3;3;1975;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;4.8
320000.0;37.0;2;0;3;3;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;10.8
260000.0;34.5;1;0;3;3;2006;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2.8
449000.0;81.3;3;0;3;3;1905;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0.0
453000.0;61.0;4;0;2;4;1985;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
349000.0;122.0;3;0;2;2;1930;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0.0
353364.0;53.0;3;1;1;7;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
339500.0;54.0;2;0;0;4;1991;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
364900.0;60.83;3;0;3;4;1985;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.8
149100.0;35.69;1;1;0;2;2020;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;3.3
475807.5;71.55;4;1;4;4;2022;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.0
599000.0;86.0;3;0;0;2;1946;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;6.2
363000.0;47.74;2;0;1;3;2013;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
495000.0;52.0;3;0;4;4;2015;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.8
560000.0;73.0;4;0;3;3;2008;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4.3
255000.0;39.0;2;0;2;2;1998;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;7.5
399000.0;58.0;3;0;3;10;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;6.2
320000.0;60.5;3;0;3;4;1988;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.9
435000.0;58.0;3;0;2;3;2005;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0.0
380000.0;63.0;3;1;1;2;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;13.5
341000.0;56.0;3;1;2;2;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;13.5
469000.0;85.23;4;1;2;2;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;13.5
347000.0;57.3;3;1;1;2;2022;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;13.5
288000.0;43.1;2;1;0;2;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;13.5
580000.0;96.0;3;0;2;3;1965;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;10.8
490000.0;63.58;3;0;1;4;1989;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
469000.0;100.0;4;0;0;3;1911;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0.0
610000.0;67.3;3;0;0;3;2013;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;13.5
435000.0;52.8;2;1;3;4;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;5.3
250000.0;47.1;2;0;0;2;1978;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;30.7
309000.0;39.0;2;0;0;5;2014;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
344308.0;54.8;3;1;0;4;2023;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;14.4
200000.0;31.0;1;0;7;11;1977;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;7.2
420000.0;56.0;3;1;1;1;2022;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;7.1
173000.0;48.0;4;0;3;3;1930;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;2.0
204999.0;20.0;1;0;3;4;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;10.8
280000.0;40.0;2;0;10;11;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;6.4
320000.0;53.0;3;0;4;4;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;6.2
450000.0;74.39;4;0;2;4;1993;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
399000.0;58.0;2;0;3;3;2001;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;13.9
369500.0;61.0;3;0;3;4;1986;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
320000.0;48.4;2;0;1;2;1959;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4.8
292740.0;49.2;2;1;2;2;2023;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;30.2
280483.0;47.14;2;1;2;2;2023;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;30.2
292918.5;49.23;2;1;1;2;2023;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;30.2
291193.0;48.94;2;1;1;2;2023;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;30.2
340938.0;58.28;2;1;1;2;2023;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;30.2
280185.5;47.09;2;1;1;2;2023;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;30.2
300105.0;48.94;2;1;0;2;2023;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;30.2
492006.0;57.21;3;1;4;10;2020;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
450000.0;109.0;4;1;0;2;2020;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;14.5
368000.0;64.0;3;0;4;4;1988;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
319000.0;61.0;3;0;2;4;1984;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;14.4
449000.0;53.0;3;0;2;4;2013;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4.6
559728.0;60.84;3;1;4;10;2020;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
333827.72;65.74;3;1;0;3;2021;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;22.7
288074.94;56.73;3;1;3;3;2021;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;22.7
487985.0;57.41;3;1;3;10;2020;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
308000.0;42.5;2;0;0;4;1990;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;14.4
349000.0;50.0;3;0;0;10;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;6.2
371500.0;56.0;2;0;3;3;2008;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
469000.0;85.23;4;1;2;2;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;13.5
369500.0;60.52;3;0;3;4;1989;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
575000.0;116.0;5;0;0;1;2020;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;12.4
350000.0;100.0;2;0;1;3;1920;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3.7
430000.0;59.0;2;0;3;3;1957;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;10.8
210000.0;31.0;1;0;7;10;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;6.3
349000.0;52.77;3;0;4;4;1992;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2.8
344000.0;63.8;3;0;3;4;1989;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
339000.0;55.8;3;0;4;4;1993;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;8.3
319000.0;36.5;2;0;2;3;1960;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;7.5
357000.0;52.0;2;0;2;3;2001;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;14.4
399000.0;50.5;3;1;6;6;2021;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;13.9
319000.0;61.0;3;0;2;4;1984;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;14.4
299000.0;48.45;2;0;3;4;1985;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
499000.0;74.0;4;0;1;4;1986;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;15.0
267840.0;44.64;2;1;1;3;2021;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;24.7
570000.0;83.43;4;0;3;3;2013;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
474990.0;98.0;4;0;0;3;1903;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3.7
414900.0;64.0;2;0;0;2;1905;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0.0
571627.0;90.02;5;1;2;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
317576.0;42.4;2;1;2;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
366975.0;52.5;3;1;3;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
377277.5;57.25;3;1;3;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
400000.0;63.36;2;0;3;4;1989;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
194000.0;27.0;2;0;1;3;1970;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0.0
371500.0;58.0;2;0;3;3;2008;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;14.4
570000.0;83.0;4;0;3;3;2013;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
399000.0;64.5;3;0;3;3;2007;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
357000.0;52.0;2;0;2;3;2001;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;14.4
450000.0;54.0;2;0;2;3;2021;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4.5
453000.0;53.0;3;0;2;3;2013;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4.6
329000.0;45.6;2;1;0;4;2021;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;3.7
250000.0;35.1;2;1;0;4;2021;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;3.7
359000.0;58.0;4;0;2;4;1940;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;3.7
339797.64;52.78;2;0;2;3;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.7
351878.6;48.94;2;1;1;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
377277.5;57.25;3;1;2;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
342090.6;48.94;2;1;2;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
366975.0;52.5;3;1;2;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
283258.7;38.33;2;1;1;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
342090.6;48.94;2;1;3;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
366975.0;52.5;3;1;2;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
349000.0;50.0;2;0;0;4;2008;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
450000.0;68.0;3;0;0;3;2009;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;13.0
