Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
539000.0;54.0;3;0;4;4.0;1976.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.7
450000.0;43.61;2;0;1;3.0;2014.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.6
448649.28;54.66;3;1;0;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
1099000.0;73.98;3;0;0;4.0;1960.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;12.4
333305.28;40.08;2;1;0;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
448649.28;54.66;3;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
337633.92;40.08;2;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
540907.2;65.9;3;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
341962.56;40.08;2;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
502038.0;61.98;3;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
599000.0;52.0;2;0;2;3.0;1955.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.4
669000.0;32.0;2;0;2;3.0;1950.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1.6
280000.0;35.7;2;1;4;4.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;7.8
251900.0;36.35;2;1;3;4.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;9.0
204000.0;27.49;1;1;1;4.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;9.0
304900.0;36.93;2;1;5;5.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.9
376500.0;51.56;3;1;5;5.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.3
296500.0;35.91;2;1;0;5.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;7.8
587000.0;58.88;3;0;1;3.0;2008.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;13.2
376500.0;51.56;3;1;0;5.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.9
575000.0;63.0;4;0;3;3.0;2013.0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;11.1
397000.0;34.0;2;0;2;4.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.4
579900.0;43.3;2;0;5;5.0;2016.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.7
425000.0;38.0;2;0;0;10.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;8.5
679000.0;62.65;3;0;1;5.0;2017.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.4
549000.0;64.44;3;0;0;3.0;1999.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;20.8
589000.0;50.0;2;0;2;9.0;1961.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2.3
599000.0;67.0;3;0;1;3.0;2016.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;10.7
354900.0;31.85;2;0;3;3.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2.1
670000.0;100.1;4;0;0;1.0;1910.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;16.2
540000.0;57.25;3;0;2;2.0;1954.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2.1
647000.0;64.8;3;0;4;4.0;2020.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.9
710000.0;87.9;4;0;3;3.0;1968.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;4.5
460000.0;38.0;2;0;2;4.0;1966.0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;7.1
309000.0;26.0;1;0;0;2.0;1950.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.6
620000.0;49.0;2;0;3;4.0;1956.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1.2
400000.0;32.0;1;0;3;3.0;2005.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;6.3
629000.0;55.0;2;0;2;2.0;1960.0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1.6
530000.0;53.0;3;0;0;10.0;1972.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;7.7
629000.0;61.0;3;0;1;2.0;1999.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.3
459000.0;48.37;3;0;3;3.0;1922.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;7.1
550000.0;56.0;2;0;0;3.0;1999.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6.3
425000.0;38.0;2;0;4;4.0;1968.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;7.7
1502000.0;120.0;4;0;1;2.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;6.2
635000.0;62.35;3;0;1;3.0;1957.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1.1
1190000.0;149.8;5;0;1;3.0;1900.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2.5
699000.0;64.0;3;0;1;3.0;2000.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.3
499000.0;49.4;2;0;4;5.0;1950.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.2
759000.0;93.57;3;0;1;2.0;1924.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3.6
479000.0;52.97;3;0;0;4.0;1978.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4.1
419000.0;44.0;2;0;1;2.0;1918.0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;4.0
430000.0;43.7;2;0;0;3.0;2000.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.3
1434000.0;72.0;2;0;0;3.0;2013.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;11.6
899999.0;46.0;2;0;8;17.0;2016.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.0
399000.0;40.3;2;0;3;3.0;2002.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.3
499000.0;63.56;4;0;2;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;4.1
410000.0;45.5;2;0;1;4.0;2006.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.9
744000.0;37.2;1;0;2;2.0;2005.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;11.9
439000.0;46.6;2;0;0;3.0;2013.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.2
599000.0;70.0;3;0;0;2.0;1920.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;2.8
489000.0;43.6;2;0;3;3.0;2019.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;12.7
1100000.0;75.0;3;0;4;11.0;2015.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5.5
379000.0;31.6;2;0;2;4.0;2003.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;7.4
1050000.0;78.4;4;0;1;2.0;1928.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;3.9
840000.0;33.5;1;0;1;3.0;2013.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;11.6
575000.0;59.0;3;0;0;3.0;1950.0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;3.9
315000.0;36.1;2;0;3;3.0;2007.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;13.2
539000.0;54.4;3;0;3;8.0;1966.0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;4.4
759000.0;60.0;3;0;0;3.0;2007.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.3
620000.0;53.0;3;0;3;3.0;2012.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.1
1250000.0;64.6;4;0;6;6.0;2018.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4.4
737000.0;74.71;3;0;3;3.0;1900.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;9.0
460000.0;49.21;2;0;0;4.0;2017.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.3
974000.0;66.35;3;0;4;4.0;1960.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1.1
1150000.0;65.3;2;0;3;5.0;2010.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4.8
759000.0;56.55;2;0;1;3.0;1950.0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1.6
495000.0;42.4;2;0;7;10.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.0
639000.0;65.0;4;0;0;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;9.8
489000.0;56.12;3;0;9;10.0;1978.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4.1
579000.0;49.4;2;0;6;9.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.1
745000.0;103.0;4;0;3;3.0;1900.0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;4.0
896000.0;74.67;2;0;3;3.0;1958.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3.8
626977.0;56.74;3;1;1;17.0;2023.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.3
535000.0;57.7;3;0;5;5.0;2012.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;13.1
590000.0;59.0;4;0;0;3.0;1950.0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;3.9
499000.0;48.3;2;0;4;4.0;1978.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.1
520000.0;49.0;2;0;3;3.0;2012.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.3
549000.0;43.92;2;0;4;4.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.5
333305.28;40.08;2;1;0;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
456939.36;55.67;3;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
398286.72;47.28;2;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
337099.32;39.51;2;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
572015.52;69.69;3;1;0;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
341962.56;40.08;2;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
521397.0;64.37;4;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
460000.0;47.0;2;0;3;3.0;2006.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;9.8
999000.0;137.0;4;0;4;4.0;1995.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.7
899000.0;71.0;3;0;1;3.0;1920.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2.1
399000.0;29.6;1;0;1;1.0;1954.0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3.9
589700.0;52.0;3;0;1;3.0;1960.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;4.3
669000.0;44.7;2;0;3;4.0;2008.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2.6
595000.0;56.7;3;0;3;3.0;2013.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.8
620000.0;60.4;3;0;4;4.0;1986.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5.2
1480000.0;122.0;4;0;0;3.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;12.9
639000.0;70.0;3;0;0;3.0;1940.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3.9
638000.0;55.4;3;0;2;10.0;1994.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5.5
545000.0;41.9;2;0;1;10.0;1975.0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;5.1
1034700.0;34.49;1;0;3;3.0;2006.0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;12.1
579000.0;64.0;3;0;2;2.0;2018.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;12.5
399000.0;40.37;2;0;0;4.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;14.2
520000.0;51.0;3;0;4;4.0;1963.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;7.8
649999.0;50.73;3;1;10;12.0;2021.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;6.9
539000.0;45.6;3;0;1;10.0;1973.0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;2.5
385000.0;46.3;2;0;8;10.0;1978.0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;6.5
621338.04;78.81;4;1;0;3.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
306322.56;37.32;1;1;0;3.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
624009.42;90.99;4;1;0;3.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
550244.34;78.99;4;1;3;3.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
341962.56;40.08;2;1;2;3.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12.1
999000.0;64.38;3;0;11;18.0;2020.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;7.7
280000.0;69.9;2;0;0;1.0;1975.0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;21.8
860000.0;48.0;2;0;1;4.0;2019.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.4
690000.0;57.74;3;1;1;7.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.4
339000.0;27.0;1;0;3;4.0;1972.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;7.7
517000.0;51.8;2;0;2;3.0;1930.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;4.0
480000.0;49.5;2;0;3;4.0;1991.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4.7
835100.0;47.72;2;1;0;2.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;7.3
1138308.0;65.42;2;1;0;2.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;7.3
740000.0;78.0;4;0;3;3.0;2012.0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;20.4
447000.0;42.2;2;0;3;3.0;2013.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.5
499000.0;77.0;4;0;0;1.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;19.2
525000.0;57.0;3;0;0;3.0;1999.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.2
580000.0;58.0;3;0;1;2.0;1920.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;6.2
620000.0;56.89;3;0;1;2.0;1950.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;4.0
529000.0;50.1;2;0;1;3.0;2015.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;9.2
799000.0;64.0;3;0;1;4.0;2007.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;11.1
575000.0;59.0;3;0;0;3.0;1950.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3.9
447900.0;62.22;3;1;1;4.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;10.0
699000.0;63.05;4;0;4;5.0;2019.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;11.3
550000.0;30.0;1;0;4;4.0;1930.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1.6
529000.0;53.12;3;0;1;3.0;2005.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.9
799000.0;56.06;3;1;11;16.0;2021.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.3
455000.0;29.54;1;0;2;5.0;2019.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2.1
599999.0;52.47;3;0;3;10.0;1981.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.1
724000.0;62.6;3;0;1;18.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.8
780000.0;65.5;3;0;2;2.0;1915.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;4.1
799000.0;40.27;2;0;2;4.0;1956.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1.8
479000.0;86.0;4;0;1;2.0;1930.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;6.9
1549000.0;133.0;7;0;2;2.0;1914.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;9.4
570000.0;91.4;4;0;0;3.0;1970.0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;12.0
485000.0;50.4;2;0;3;3.0;2012.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;10.3
1240000.0;78.84;4;0;8;17.0;2019.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0.7
1100000.0;57.0;2;0;0;3.0;1957.0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;12.6
948600.0;61.95;2;0;3;5.0;2016.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.0
1190000.0;86.0;4;0;1;5.0;2016.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.0
715000.0;62.5;3;0;4;7.0;2007.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.8
675000.0;86.3;4;0;0;3.0;1997.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.2
529000.0;71.17;4;0;4;4.0;1994.0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;8.3
759000.0;73.0;3;0;2;3.0;2000.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1.7
299000.0;31.0;1;0;11;11.0;1973.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.7
689000.0;113.17;3;0;1;2.0;2018.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;27.8
670000.0;84.56;4;1;3;3.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;8.9
460000.0;46.0;2;0;4;4.0;1968.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.1
877000.0;73.16;4;0;1;11.0;1985.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;8.1
670000.0;67.0;3;0;1;4.0;2009.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.3
450000.0;33.0;2;0;0;6.0;2017.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.5
439000.0;49.62;3;0;1;1.0;1890.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;11.8
725000.0;54.0;3;0;4;4.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.7
