Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
498000.0;46.0;2;0;5;5.0;2012.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.1
450000.0;47.0;3;0;11;15.0;1983.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4.5
429900.0;47.6;2;0;3;3.0;1960.0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;4.3
995000.0;130.0;4;0;1;4.0;1930.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1.8
532000.0;55.3;2;0;2;4.0;2009.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.7
375000.0;48.37;2;0;8;11.0;1995.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.6
375000.0;49.2;2;0;0;4.0;1988.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3.6
499000.0;54.45;2;0;2;7.0;1964.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4.5
565000.0;60.04;3;0;2;4.0;1900.0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;3.1
610000.0;60.0;2;0;2;3.0;2012.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.0
380000.0;50.0;2;0;2;3.0;1988.0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4.5
549000.0;56.0;3;0;3;3.0;2015.0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1.8
329000.0;61.15;3;1;1;2.0;2021.0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1.8
519000.0;65.0;3;0;0;3.0;1960.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4.3
539000.0;52.6;2;0;0;4.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;3.0
380000.0;48.5;4;0;4;4.0;1930.0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;2.9
399000.0;53.0;2;0;4;4.0;1996.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;6.7
550000.0;105.64;4;0;4;4.0;1905.0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;3.2
490000.0;75.96;2;0;4;4.0;1905.0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;3.2
523200.0;65.4;4;1;0;3.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
220000.0;47.0;3;0;3;3.0;1925.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;3.2
275000.0;38.0;2;0;6;10.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3.1
949000.0;146.1;3;0;1;4.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;2.9
354849.0;21.37;1;1;3;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.6
332266.0;20.01;1;1;1;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.6
301381.0;18.15;1;1;1;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.6
365000.0;36.0;1;0;9;18.0;2000.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.1
