Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
280000.0;36.6;2;0;1;4.0;1983.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4.2
494500.0;44.0;3;0;2;7.0;2019.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.8
349000.0;36.6;2;0;5;10.0;1984.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;7.8
359000.0;40.0;2;1;1;6.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;5.6
453420.0;91.6;4;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;10.3
581088.0;121.06;4;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;10.3
454360.5;91.79;4;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;10.3
469000.0;66.9;3;0;1;10.0;1984.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.3
460300.5;92.99;4;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;10.3
580896.0;121.02;4;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;10.3
453420.0;91.6;4;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;10.3
399069.0;40.31;2;1;9;12.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;21.6
396200.0;63.23;3;1;0;7.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.7
475000.0;72.02;4;0;7;7.0;2014.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.6
275000.0;29.2;1;1;8;11.0;2020.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.6
300000.0;28.04;1;0;0;4.0;1950.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1.7
389000.0;63.65;4;0;1;4.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4.2
359000.0;54.81;3;1;0;1.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.6
390000.0;74.0;4;1;1;1.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;9.6
390400.0;68.0;3;1;0;1.0;2022.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;9.6
397000.0;40.59;2;0;0;4.0;2013.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.6
380160.0;52.8;3;1;1;4.0;2020.0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;5.6
259505.0;36.55;2;1;0;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
438834.0;66.49;3;1;0;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
329910.0;47.13;2;1;0;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
395784.0;57.36;3;1;0;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
269220.0;38.46;2;1;0;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
