Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
289000.0;46.8;3;0;4;4;1970;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;3.9
270000.0;48.0;3;0;1;4;1978;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;24.4
204900.0;45.9;2;0;3;3;1962;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;21.3
225000.0;47.62;3;0;8;10;1978;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;24.4
280000.0;47.5;2;0;0;4;1980;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;23.5
257000.0;49.0;2;0;5;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;23.5
220000.0;40.0;2;0;2;10;1980;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;21.5
329000.0;62.0;3;0;4;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;21.3
150000.0;28.82;1;0;2;4;1978;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;33.7
185900.0;47.0;2;0;7;10;1984;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;21.8
239000.0;49.0;3;0;3;4;1978;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;33.7
206892.0;48.0;3;0;1;3;1962;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;21.3
210999.0;47.0;2;0;0;4;1974;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;21.8
349000.0;77.4;3;0;1;3;1910;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;2.1
315000.0;58.75;3;0;0;3;1981;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.6
259000.0;47.0;3;0;2;4;1970;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;22.0
200000.0;60.0;2;0;2;2;1930;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;7.2
320000.0;48.09;2;0;5;7;1970;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;22.5
260000.0;48.0;2;0;1;4;1985;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;26.3
319900.0;48.0;3;0;9;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;24.6
316800.0;99.0;3;0;1;4;1900;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;5.0
119196.0;18.92;1;0;3;4;1900;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;9.2
434000.0;63.0;3;1;1;3;2021;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;28.5
311876.0;56.18;2;0;2;2;1945;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;3.7
480000.0;108.73;4;1;1;1;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;17.6
400000.0;51.0;2;0;3;4;2018;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;13.0
199900.0;37.4;2;0;3;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;22.5
280000.0;65.76;3;0;2;2;1950;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;34.2
530000.0;89.0;5;0;3;4;1930;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;2.1
595000.0;88.11;4;0;1;2;2014;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;38.6
288000.0;46.64;3;0;4;4;1975;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;23.8
149900.0;35.13;2;0;2;2;1960;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;37.0
289000.0;61.0;3;0;4;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;22.9
415700.0;51.91;3;1;1;2;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
325000.0;39.25;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
578000.0;76.05;4;1;0;2;2022;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
405000.0;51.1;2;0;2;3;2014;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;34.6
299000.0;59.8;3;0;2;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;20.4
650000.0;137.8;4;0;2;3;1945;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;24.6
599000.0;68.0;3;0;0;4;2019;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;26.3
269000.0;58.75;3;0;7;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;20.1
549000.0;87.39;4;1;0;3;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1.2
272000.0;35.99;2;1;0;3;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1.2
274000.0;60.02;3;0;4;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;21.4
479000.0;76.5;4;1;1;3;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1.2
433000.0;66.93;4;1;1;3;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1.2
539000.0;80.95;3;1;1;1;2021;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;31.7
340800.0;48.0;3;1;5;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1.2
130000.0;37.0;1;0;2;2;1955;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;34.2
329915.0;57.89;3;1;0;1;2021;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;12.0
258000.0;42.71;2;0;3;10;1970;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;34.7
153000.0;85.0;2;0;1;3;1900;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;24.7
172700.0;37.25;2;0;1;2;1980;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;42.8
259000.0;47.94;2;0;5;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;23.5
269000.0;50.0;2;0;0;4;1970;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;13.3
319000.0;54.7;3;0;4;13;1978;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;27.5
399000.0;60.01;3;0;0;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;28.8
279000.0;53.85;3;0;2;3;1900;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;24.2
247937.0;40.0;2;1;1;5;2023;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;21.5
229000.0;34.0;1;0;2;5;1978;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;25.6
585000.0;56.09;3;1;2;2;2020;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;39.9
550000.0;80.24;3;1;1;1;2021;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;27.5
330000.0;66.46;3;0;2;4;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;7.2
578000.0;76.05;4;1;0;2;2022;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
325000.0;39.25;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
415700.0;51.91;3;1;1;2;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
541460.0;95.16;5;1;1;1;2021;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.0
425815.0;65.51;3;1;0;1;2021;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;29.9
649000.0;132.7;4;0;2;4;1892;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;12.1
329000.0;50.0;2;0;4;4;1965;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;33.4
346400.0;43.3;2;0;1;6;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;26.3
266430.0;33.2;1;1;1;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
202230.0;25.2;1;1;0;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
285000.0;34.38;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
415700.0;51.91;3;1;1;2;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
334899.0;45.41;3;1;0;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
320000.0;48.09;2;0;5;7;1970;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;33.7
