Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
249000.0;47.7;2;0;3;4;1980;0;1;0;0;0;0;1;0;0;0;0;1;5.0
460000.0;82.12;3;1;1;1;2021;1;0;0;0;1;0;0;0;1;1;0;0;17.0
492900.0;93.05;4;1;2;2;2019;1;0;0;0;1;0;0;0;1;1;0;0;3.3
479000.0;78.0;4;1;1;1;2020;1;0;0;0;1;0;0;0;1;1;0;0;3.3
366000.0;57.27;3;1;0;1;2020;1;0;0;0;1;0;0;0;1;1;0;0;3.3
336895.0;51.83;2;1;2;2;2021;1;0;0;0;1;0;0;0;1;1;0;0;4.8
338065.0;52.01;2;1;1;2;2021;1;0;0;0;1;0;0;0;1;1;0;0;4.8
389500.0;56.07;3;1;1;2;2021;1;0;0;0;1;0;0;0;1;1;0;0;2.0
452500.0;67.03;4;1;1;2;2021;1;0;0;0;1;0;0;0;1;1;0;0;2.0
395000.0;87.0;3;0;1;2;2000;1;0;0;0;1;0;0;0;0;1;0;0;3.8
335000.0;59.0;3;1;0;1;2021;0;1;0;0;1;0;0;0;1;1;0;0;13.8
300000.0;51.55;3;1;0;1;2021;1;0;0;0;1;0;0;0;1;1;0;0;17.0
480000.0;119.97;3;0;0;2;2010;1;0;0;0;1;0;0;0;0;1;0;0;3.8
381600.0;60.0;3;1;0;3;2020;1;0;0;0;1;0;0;0;1;1;0;0;3.5
257784.0;37.36;2;1;1;2;2021;1;0;0;0;1;0;0;0;1;1;0;0;4.8
308000.0;61.59;3;1;1;5;2021;1;0;0;0;1;0;0;0;0;1;0;0;18.9
296100.0;43.4;2;1;1;1;2021;1;0;0;0;1;0;0;0;1;1;0;0;0.0
399000.0;66.8;3;0;0;1;2020;1;0;0;0;1;0;0;0;1;1;0;0;0.9
525325.0;76.15;3;1;2;7;2019;1;0;0;0;0;0;1;0;1;1;0;0;18.0
493005.0;71.45;3;1;2;7;2019;1;0;0;0;0;0;1;0;1;1;0;0;18.0
318000.0;53.09;3;1;0;1;2020;1;0;0;0;1;0;0;0;1;1;0;0;21.1
450582.0;68.27;3;1;3;4;2020;1;0;0;0;0;0;1;0;1;1;0;0;564.0
436656.0;66.16;4;1;1;4;2020;1;0;0;0;0;0;1;0;1;1;0;0;564.0
